一部	itibu	one part
一命	itimei	life
一抹	itimatu	touch of
一事	itizi	one thing
一足	hitoasi	step
一語	itigo	one word
一念	itinen	determined purpose
一路	itiro	one road
一考	ikkoo	consideration
一派	ippa	school
一級	ikkyuu	one grade
一晩	hitoban	one night
一案	itian	idea
一理	itiri	principle
一月	itigatu	January
一間	ikken	one ken
一式	issiki	complete set
一説	issetu	one theory
一風	ippuu	eccentric
一刻	ikkoku	minute
一笑	issyoo	laugh
一片	ippen	slice
一役	hitoyaku	role
一芸	itigei	an art
一代	itidai	generation
一群	itigun	group
一樹	itizyu	one tree
一滴	itteki	drop
一隅	itiguu	corner
一足	issoku	pair
一興	ikkyoo	amusement
一睡	issui	a wink of sleep
一極	ikkyoku	monopole
一糸	issi	thread
一筆	ippitu	a few lines
一目	hitome	glance
一策	issaku	idea
一徹	ittetu	obstinate
一利	itiri	one advantage
一輪	itirin	one flower
一党	ittoo	party
一存	itizon	one's own discretion
一対	ittui	pair
一途	itizu	wholehearted
一等	ittoo	first-class
一銭	issen	one-hundredth of a yen
一顧	ikko	notice of
一介	ikkai	mere
一系	ikkei	single-family lineage
一刀	ittoo	sword
一遍	ippen	once
一粒	hitotubu	grain
一辺	ippen	side of a geometric shape
一皮	hitokawa	unmasking
一癖	hitokuse	trait
一首	issyu	tanka
一道	itidoo	one road
一脈	itimyaku	vein
一物	itimotu	plot
一類	itirui	same kind
一山	hitoyama	one mountain
一朝	ittyoo	temporarily
一計	ikkei	plan
一重	hitoe	one layer
一双	issoo	pair
一点	itten	speck
一如	itinyo	oneness
一席	isseki	sitting
一巻	ikkan	one roll
一死	issi	dying
一閃	issen	flash
一縷	itiru	a thread
一反	ittan	one-tenth hectare
一瞥	itibetu	glance
一丁	ittyoo	one sheet
一泡	hitoawa	blow
一花	hitohana	success
一条	itizyoo	one long straight object
一筋	hitosuzi	one long straight object
一角	hitokado	a cut above the rest
一献	ikkon	one cup
一軒	ikken	one house
一寸	issun	one sun
一難	itinan	one difficulty
一塊	hitokatamari	one lump
一旗	hitohata	flag
一女	itizyo	daughter
一聴	ittyoo	listening to once
一々	itiiti	one-by-one
一天	itten	the whole sky
一夕	isseki	one evening
一泊	ippaku	stopping one night
一戸	ikko	one house
一筆	hitohude	a few lines
一両	itiryoo	one vehicle
一敗	ippai	one defeat
一驚	ikkyoo	surprise
一己	ikko	personal
一陣	itizin	gust of wind
一通	ittuu	one copy
一拍	ippaku	one clap
一雨	hitoame	shower
一汗	hitoase	doing a job
一季	ikki	one season
一義	itigi	reason
一軍	itigun	an army
一再	issai	once or twice
一札	issatu	document
一決	ikketu	agreed
一向	hitaburu	nothing but
一白	ippaku	first of nine traditional astrological signs
一半	ippan	half
一頃	hitokoro	once
一束	issoku	a bundle
一面	itimen	one face
一一	itiiti	one-by-one
一指	issi	finger
一隻	isseki	one boat
一統	ittoo	lineage
一齣	hitokoma	one scene
一郭	ikkaku	one block
一髪	ippatu	hair
一疋	ippiki	one animal
一葦	itii	one reed
一意	itii	unique
一塩	hitosio	slightly salted
一期	ikki	one term
一掬	ikkiku	small amount
一軸	itiziku	uniaxial
一週	issyuu	one week
一所	issyo	one place
一千	issen	1,000
一腹	ippuku	one litter
一眸	itiboo	one sweep
統一	tooitu	unity
唯一	yuiitu	only
同一	dooitu	identity
単一	tanitu	single
万一	maniti	emergency
画一	kakuitu	uniformity
随一	zuiiti	best
均一	kinitu	uniformity
均一	kinitu	uniformity
純一	zyunitu	purity
択一	takuitu	choosing an alternative
同一	dooitu	identity
光一	pikaiti	scoring hand with one 20 point flower card and six 1 point flower cards
合一	gooitu	unification
帰一	kiitu	united into one
専一	senitu	exclusively
三一	sanpin	low-ranking samurai
一一	itiiti	one-by-one
斉一	seiitu	equality
右翼	uyoku	right-wing
右腕	uwan	right arm
右左	migihidari	right and left
右足	migiasi	right foot
右手	migite	right hand
右派	uha	right wing
右肩	migikata	right shoulder
右端	migihasi	right end
右側	migigawa	right side
右辺	uhen	right side
右上	migiue	right-upper
右下	migisita	right-lower
右目	migime	right eye
右折	usetu	turning to the right
右傾	ukei	rightist
右脳	unoo	right brain
右舷	ugen	starboard
右岸	ugan	right bank
右記	uki	aforementioned
右文	yuubun	respect for literary culture
右筆	yuuhitu	private secretary
左右	sayuu	left and right
極右	kyokuu	extreme right
座右	zayuu	at one's right
雨天	uten	rainy weather
雨水	amamizu	rain water
雨量	uryoo	rainfall
雨林	urin	rain forest
雨期	uki	rainy season
雨具	amagu	rain gear
雨雲	amagumo	rain cloud
雨中	utyuu	in the rain
雨戸	amado	sliding storm shutter
雨傘	amagasa	umbrella
雨風	amekaze	rain and wind
雨粒	amatubu	raindrop
雨後	ugo	after rain
雨脚	amaasi	passing shower
雨露	uro	rain and dew
雨滴	uteki	raindrops
雨空	amazora	rainy sky
雨季	uki	rainy season
雨夜	amayo	rainy night
雨曇	amagumori	overcast weather
雨樋	amadoi	drainspout
雨下	uka	raining
雨蛙	amagaeru	tree frog
雨気	amake	signs of rain
雨間	amaai	break in the rain
豪雨	goou	torrential rain
梅雨	tuyu	rainy season
大雨	ooame	heavy rain
降雨	koou	rainfall
小雨	kosame	light rain
雷雨	raiu	thunderstorm
風雨	huuu	wind and rain
時雨	sigure	drizzle
春雨	harusame	gentle spring rain
長雨	nagaame	long spell of rain
少雨	syoou	small amount of rainfall
霧雨	kirisame	drizzle
秋雨	akisame	autumn rain
多雨	tau	heavy rain
白雨	hakuu	rain shower
慈雨	ziu	welcome rain
氷雨	hisame	hail
晴雨	seiu	weather
涙雨	namidaame	light rain
冷雨	reiu	chilly rain
村雨	murasame	passing shower
驟雨	syuuu	sudden shower
弾雨	danu	hail of bullets
一雨	hitoame	shower
穀雨	kokuu	grain rain solar term
細雨	saiu	drizzle
微雨	biu	light rain
黴雨	tuyu	rainy season
煙雨	enu	misty, fine or drizzling rain
円滑	enkatu	smooth
円形	enkei	round shape
円満	enman	perfection
円筒	entoo	cylinder
円熟	enzyuku	ripeness
円卓	entaku	round table
円盤	enban	disk
円周	ensyuu	circumference
円陣	enzin	forming a circle
円柱	entyuu	column
円弧	enko	arc
円錐	ensui	cone
円光	enkoo	halo
円座	enza	sitting in circle
円本	enpon	one-yen book
円蓋	engai	cupola
円貨	enka	yen currency
円舞	enbu	waltz
円心	ensin	centre of circle
楕円	daen	ellipse
半円	hanen	semicircle
方円	hooen	squares and circles
長円	tyooen	ellipse
大円	daien	large circle
金円	kinen	money
下落	geraku	depreciation
下旬	gezyun	month
下方	kahoo	lower region
下車	gesya	alighting
下手	simote, heta	lower part, unskillful
下着	sitagi	underwear
下位	kai	low rank
下町	sitamati	low-lying part of a city
下部	kabu	lower part
下校	gekoo	coming home from school
下流	karyuu	downstream
下山	gezan	descending
下痢	geri	diarrhoea
下降	kakoo	downward
下限	kagen	lower limit
下地	sitazi	groundwork
下期	simoki	second half of the fiscal year
下宿	gesyuku	boarding
下見	sitami	preview
下野	geya	retirement from public office
下水	gesui	drainage
下記	kaki	the following
下田	geden	worn-out rice land
下段	gedan	lower tier
下級	kakyuu	lower grade
下火	sitabi	burning low
下草	sitakusa	undergrowth
下層	kasoo	lower strata
下品	gehin	vulgarity
下巻	gekan	last volume
下駄	geta	geta
下絵	sitae	rough sketch
下味	sitaazi	seasoning of food
下肢	kasi	the legs
下敷	sitaziki	desk pad
下値	sitane	lowest price
下界	gekai	this world
下座	geza	squatting
下船	gesen	going ashore
下馬	geba	dismounting
下心	sitagokoro	secret intention
下剤	gezai	laxative
下戸	geko	someone who can't drink
下請	sitauke	subcontract
下放	kahoo	movements for sending young people to the countryside in China
下劣	geretu	base
下腹	kahuku	abdomen
下垂	kasui	drooping
下品	gehin	vulgarity
下司	gesu	low-life
下足	gesoku	footwear
下々	simozimo	the lower classes
下賜	kasi	grant
下図	sitazu	rough sketch
下端	katan	lower end
下命	kamei	order
下女	gezyo	maid servant
下僕	geboku	manservant
下弦	kagen	last quarter
下城	gezyoo	withdrawing from the castle
下前	sitamae	part of the fabric that is tucked closest to the skin when wearing a garment that is wrapped in front of one
下知	geti	command
下等	katoo	inferior
下期	simoki	second half of the fiscal year
下帯	sitaobi	loincloth
下腿	katai	lower leg
下屋	geya	small attached annex
下向	gekoo	leaving the capital
下面	kamen	underside
下人	genin	low-rank person
下男	genan	manservant
下士	kasi	noncommissioned officer
下問	kamon	enquiry
下策	gesaku	poor plan
下線	kasen	underline
下達	katatu	commanding a subordinate
下肥	simogoe	manure
下表	kahyoo	diagram below
下付	kahu	grant
下意	kai	the feelings of the people
下衆	gesu	low-life
下役	sitayaku	underling
下枝	sizue	lower branches of a tree
下名	kamei	undermentioned
下作	sitasaku	poor manufacture
下等	katoo	inferior
下風	kahuu	subordinate position
下目	sitame	downward glance
下獄	gegoku	being sent to prison
下僚	karyoo	subordinates
下下	simozimo	the lower classes
下種	gesu	low-life
下乗	gezyoo	dismounting
下郎	geroo	servant
下情	kazyoo	condition of the common people
下番	kaban	going off duty
下略	geryaku	remaining text omitted
下露	sitatuyu	trees
以下	ika	not exceeding
低下	teika	fall
地下	tika	basement
傘下	sanka	affiliated with
上下	zyooge	top and bottom
陛下	heika	your Majesty
落下	rakka	fall
部下	buka	subordinate person
投下	tooka	throwing down
却下	kyakka	rejection
廊下	rooka	corridor
幕下	makusita	third highest division
左下	hidarisita	lower left
天下	tenka	the whole world
床下	yukasita	under the floor
年下	tosisita	younger
直下	tyokka	directly under
降下	kooka	fall
靴下	kutusita	socks
右下	migisita	right-lower
門下	monka	one's pupil or student or follower
殿下	denka	your Highness
南下	nanka	going south
格下	kakusita	lower rank
沈下	tinka	sinking
目下	mokka	at present
高下	kooge	rise and fall
眼下	ganka	under one's eyes
風下	kazasimo	leeward
真下	masita	right under
配下	haika	subordinates
階下	kaika	lower floor
軒下	nokisita	under the overhang of a Japanese roof
皮下	hika	subcutaneous
目下	mesita	subordinate
閣下	kakka	your Excellency
川下	kawasimo	downstream
現下	genka	the present time
城下	zyooka	land near the castle
西下	saika	going west
最下	saika	the lowest
卑下	hige	self-abasement
都下	toka	in the capital
月下	gekka	in the moonlight
言下	gonka	promptly
臣下	sinka	retainer
泉下	senka	Hades
最下	saika	the lowest
県下	kenka	in the prefecture
手下	tesita	subordinate
足下	asimoto	at one's feet
嚥下	enka	swallowing
樹下	zyuka	beneath the trees
版下	hansita	artwork
零下	reika	below zero
府下	huka	suburban districts
流下	ryuuka	flowing down
時下	zika	nowadays
垂下	suika	being pendent
台下	daika	your honor
脚下	kyakka	at one's feet
猊下	geika	your highness
放下	hooka	discarding
貴下	kika	you
治下	tika	under the rule of
滴下	tekika	drip
膝下	hizamoto	near one's knee
雨下	uka	raining
股下	matasita	length of the legs
宣下	senge	imperial proclamation
下下	simozimo	the lower classes
管下	kanka	under the jurisdiction of
三下	sansita	petty underling
灯下	tooka	by the lamp
翼下	yokuka	underwing
麾下	kika	under the command
割下	warisita	sukiyaki stock
隷下	reika	subordinates
火災	kasai	conflagration
火山	kazan	volcano
火事	kazi	fire
火星	kasei	Mars
火力	karyoku	heating power
火種	hidane	live coals
火曜	kayoo	Tuesday
火薬	kayaku	gunpowder
火花	hibana	spark
火口	kakoo	crater
火葬	kasoo	cremation
火元	himoto	origin of a fire
火鉢	hibati	brazier
火焔	kaen	flame
火器	kaki	firearms
火中	katyuu	in the fire
火柱	hibasira	pillar of fire
火炎	kaen	flame
火傷	kasyoo	burn
火勢	kasei	force of flames
火砲	kahoo	artillery
火気	kaki	fire
火刑	kakei	burning at the stake
火宅	kataku	this world of suffering
火祭	himaturi	fire festival
火水	himizu	fire and water
火皿	hizara	fire grate
火縄	hinawa	fuse
火消	hikesi	extinguishing a fire
火屋	hoya	lamp chimney
火蓋	hibuta	apron of a gun
火急	kakyuu	emergency
火焼	hitaki	Old World flycatcher
火影	hokage	firelight
火酒	kasyu	strong drink
火急	kakyuu	emergency
火箸	hibasi	long metal chopsticks
火矢	hiya	fire arrow
火玉	hidama	falling star
火色	hiiro	color of flames
火夫	kahu	fireman
火燵	kotatu	kotatsu
火袋	hibukuro	fire box in traditional Japanese lantern
火難	kanan	fire calamity
火桶	hioke	wooden brazier
火箭	kasen	fire arrow
火線	kasen	firing line
火偏	hihen	"kanji ""fire"" radical at left "
放火	hooka	arson
噴火	hunka	eruption
出火	syukka	outbreak of fire
花火	hanabi	fireworks
聖火	seika	sacred fire
消火	syooka	fire fighting
発火	hakka	firing
戦火	senka	wartime fire
防火	booka	fire prevention
点火	tenka	ignition
口火	kutibi	fuse
引火	inka	catching fire
耐火	taika	fireproof
鎮火	tinka	extinguishing
灯火	tomosibi	light
弱火	yowabi	simmering
砲火	hooka	gunfire
着火	tyakka	ignited
下火	sitabi	burning low
強火	tuyobi	high flame or heat
炭火	sumibi	charcoal fire
中火	tyuubi	a medium flame or fire
失火	sikka	accidental fire
大火	taika	large fire
篝火	kagaribi	fire built in an iron basket
煙火	enka	smoke and fumes
野火	nobi	burning off the fields
猛火	mooka	raging or roaring flames
烈火	rekka	raging fire
狐火	kitunebi	St. Elmo's fire
銃火	zyuuka	gunfire
漁火	gyoka	fire for luring fish at night
鉄火	tekka	red-hot iron
焚火	takibi	open-air fire
鬼火	onibi	will-o'-the-wisp
蛍火	hotarubi	light of a firefly
業火	gooka	hell fire
神火	sinka	sacred flame
小火	boya	small fire
炬火	kyoka	pine torch
鉄火	tekka	red-hot iron
烽火	hooka	beacon
行火	anka	bed warmer
劫火	gooka	world-destroying conflagration
天火	tenka	fire caused by lightning
兵火	heika	fire caused by war
遠火	toobi	distant fire
水火	suika	fire and water
雷火	raika	flash of lightning
燐火	rinka	phosphorous light
熾火	okibi	glowing ember
怪火	kaika	fire of mysterious or suspicious origin
近火	kinka	fire in the neighborhood
門火	kadobi	fire lit at a gate for funerals, weddings and Obon
連火	renga	"kanji ""fire"" radical at bottom"
狼火	rooka	signal fire
何者	nanimono	who
何事	nanigoto	what
何人	nanibito	everyone
何処	doko	where
何時	itu	when
何分	nanibun	some
何様	nanisama	person of importance
何頭	nantoo	how many?
何方	donata	who?
何程	nanihodo	how much
何某	naniboo	certain person
幾何	kika	geometry
如何	ika	how
誰何	suika	challenging
外交	gaikoo	diplomacy
外相	gaisyoo	Foreign Minister
外国	gaikoku	foreign country
外野	gaiya	outfield
外務	gaimu	foreign affairs
外部	gaibu	the outside
外為	gaitame	foreign exchange
外資	gaisi	foreign capital
外出	gaisyutu	outing
外来	gairai	foreign
外角	gaikaku	outside corner
外科	geka	surgery
外貨	gaika	foreign currency
外食	gaisyoku	eating out
外傷	gaisyoo	external wound
外側	sotogawa	exterior
外観	gaikan	appearance
外壁	gaiheki	outer wall
外遊	gaiyuu	foreign travel
外形	gaikei	externals
外見	gaiken	outward appearance
外郭	gaikaku	outer wall
外需	gaizyu	foreign consumption
外信	gaisin	external communication
外苑	gaien	outer garden
外圧	gaiatu	external pressure
外装	gaisoo	exterior
外注	gaityuu	outside order
外局	gaikyoku	external bureau
外語	gaigo	foreign language
外債	gaisai	foreign loan
外界	gaikai	outside world
外事	gaizi	foreign affairs
外車	gaisya	foreign automobile
外気	gaiki	open air
外堀	sotobori	outer moat
外敵	gaiteki	foreign enemy
外人	gaizin	foreigner
外周	gaisyuu	outer circumference
外泊	gaihaku	spending night somewhere else
外洋	gaiyoo	open sea
外政	gaisee	foreign policy
外的	gaiteki	external
外伝	gaiden	supplementary biography
外用	gaiyoo	external use
外面	gaimen	outer surface
外患	gaikan	external pressure
外地	gaiti	overseas territories
外郎	uiroo	sweet rice jelly
外材	gaizai	foreign or imported timber
外電	gaiden	foreign telegram
外様	tozama	outside daimyo
外套	gaitoo	overcoat
外山	toyama	nearby mountain
外縁	gaien	brink
外縁	gaien	brink
外皮	gaihi	skin
外宮	gekuu	Outer shrine of Ise
外商	gaisyoo	foreign businessman
外向	gaikoo	extroversion
外販	gaihan	direct sales
外濠	sotobori	outer moat
外字	gaizi	characters not in Joyo Kanji
外勤	gaikin	working away from the office
外聞	gaibun	reputation
外客	gaikyaku	overseas guest or customer
外耳	gaizi	external ear
外力	gairyoku	external force
外灯	gaitoo	outside light
外道	gedoo	non-Buddhist teachings
外因	gaiin	the surface reason
外史	gaisi	unofficial history
外孫	sotomago	grandchild from a daughter married into another family
外報	gaihoo	foreign news
外延	gaien	extension
外輪	gairin	wheel rim
外在	gaizai	external
外線	gaisen	outside telephone line
外戚	gaiseki	maternal relative
外米	gaimai	foreign rice
外層	gaisoo	outer layers
外題	gedai	title
外教	gaikyoo	foreign religion
外征	gaisei	foreign campaign
外典	geten	Apocrypha
外連	keren	playing to the gallery
外貌	gaiboo	outward appearance
外股	sotomata	one's toes turned out
外港	gaikoo	outer port for large city
外賓	gaihin	foreign guest
外方	soppo	the other way
外法	sotonori	outside measurements
海外	kaigai	foreign
以外	igai	with the exception of
郊外	koogai	suburb
意外	igai	unexpected
国外	kokugai	outside the country
内外	naigai	inside and outside
例外	reigai	exception
除外	zyogai	exception
対外	taigai	external
県外	kengai	outside the prefecture
屋外	okugai	outdoors
在外	zaigai	overseas
社外	syagai	outside the company
体外	taigai	ectogenesis
野外	yagai	outdoors
論外	rongai	out of the question
場外	zyoogai	outside the hall
番外	bangai	exception
疎外	sogai	estrangement
部外	bugai	outside the department
市外	sigai	outside the city area
域外	ikigai	outside the area
枠外	wakugai	limits
号外	googai	newspaper extra
車外	syagai	outside a car
閣外	kakugai	outside the Cabinet
渉外	syoogai	public relations
圏外	kengai	outside range
戸外	kogai	open-air
法外	hoogai	exorbitant
心外	singai	regrettable
課外	kagai	extracurricular
室外	situgai	outdoors
案外	angai	unexpectedly
校外	koogai	off-campus
排外	haigai	anti-foreign
学外	gakugai	outside the school
口外	koogai	disclosure
言外	gengai	unexpressed
欄外	rangai	margin
天外	tengai	beyond the heavens
望外	boogai	unexpected
洛外	rakugai	outside Kyoto or the capital
選外	sengai	unselected
門外	mongai	outside a gate
院外	ingai	outside congress
機外	kigai	outside a plane
中外	tyuugai	home and abroad
存外	zongai	beyond or contrary to expectations
望外	boogai	unexpected
局外	kyokugai	the outside
港外	koogai	outside a port or harbor
管外	kangai	outside the control or jurisdiction
人外	zingai	uninhabited area
員外	ingai	non-membership
構外	koogai	off grounds
遣外	kengai	dispatched abroad
分外	bungai	not within proper limits
埒外	ratigai	out of bounds
理外	rigai	supra-rational
格外	kakugai	nonstandard
等外	toogai	also-ran
分外	bungai	not within proper limits
慮外	ryogai	unexpected
学校	gakkoo	school
学生	gakusei	student
学園	gakuen	academy
学習	gakusyuu	study
学会	gakkai	scientific society
学者	gakusya	scholar
学長	gakutyoo	university president
学部	gakubu	department of a university
学力	gakuryoku	scholarly ability
学院	gakuin	institute
学年	gakunen	year in school
学芸	gakugei	arts and sciences
学級	gakkyuu	class
学科	gakka	study subject
学術	gakuzyutu	science
学問	gakumon	scholarship
学期	gakki	school term
学歴	gakureki	academic background
学費	gakuhi	tuition
学識	gakusiki	scholarship
学童	gakudoo	school child
学的	gakuteki	scholarly
学内	gakunai	within the school
学業	gakugyoo	studies
学徒	gakuto	student
学界	gakkai	academic or scientific world
学位	gakui	degree
学士	gakusi	university graduate
学説	gakusetu	theory
学区	gakku	school district
学研	gakken	study and research
学際	gakusai	interdisciplinary
学修	gakusyuu	study
学外	gakugai	outside the school
学名	gakumei	technical name
学友	gakuyuu	school friend
学資	gakusi	school expenses
学卒	gakusotu	college graduate
学派	gakuha	school
学究	gakkyuu	scholar
学割	gakuwari	student discount
学齢	gakurei	school age
学舎	gakusya	school
学籍	gakuseki	school register
学制	gakusei	educational or school system
学府	gakuhu	educational institution
学事	gakuzi	educational affairs
学寮	gakuryoo	student hostel
学閥	gakubatu	alma mater clique
学務	gakumu	school affairs
学風	gakuhuu	academic traditions
学則	gakusoku	school regulations
学理	gakuri	scholarly principle
学僧	gakusoo	learned priest pursuing his studies
学殖	gakusyoku	scholarship
学課	gakka	lesson
学帽	gakuboo	school cap
学窓	gakusoo	school
学徳	gakutoku	learning and virtue
学才	gakusai	academic ability
学匠	gakusyoo	scholar
大学	daigaku	post-secondary education institution, incl. university, college, etc.
科学	kagaku	science
文学	bungaku	literature
中学	tyuugaku	middle school
化学	kagaku	chemistry
入学	nyuugaku	entry to school or university
医学	igaku	medical science
小学	syoogaku	elementary school
留学	ryuugaku	studying abroad
哲学	tetugaku	philosophy
進学	singaku	entering a higher-level school, esp. going on to university
数学	suugaku	mathematics
見学	kengaku	inspection
工学	koogaku	engineering
通学	tuugaku	commuting to school
奨学	syoogaku	encouragement to study
在学	zaigaku	in school
就学	syuugaku	entering school
語学	gogaku	language study
退学	taigaku	dropping out of school
私学	sigaku	school
光学	koogaku	optics
法学	hoogaku	law
美学	bigaku	esthetics
理学	rigaku	physical science
疫学	ekigaku	epidemiology
国学	kokugaku	Japanese literature and culture
力学	rikigaku	mechanics
遊学	yuugaku	studying abroad
産学	sangaku	industry-academic
独学	dokugaku	self-education
神学	singaku	theology
農学	noogaku	agriculture
薬学	yakugaku	pharmacy
雑学	zatugaku	miscellaneous knowledge
史学	sigaku	study of history
共学	kyoogaku	coeducation
休学	kyuugaku	temporary absence from school
勉学	bengaku	study
志学	sigaku	age 15
地学	tigaku	earth sciences
全学	zengaku	whole college
停学	teigaku	suspension from school
復学	hukugaku	return to school
教学	kyoogaku	education and learning
修学	syuugaku	learning
苦学	kugaku	paying one's own school expenses by working
儒学	zyugaku	Confucianism
歯学	sigaku	dentistry
実学	zitugaku	practical science
蘭学	rangaku	Dutch studies
漢学	kangaku	Sinology
碩学	sekigaku	great scholar
同学	doogaku	the same school
詩学	sigaku	study of poetry
商学	syoogaku	commercial science
夜学	yagaku	evening course
無学	mugaku	illiteracy
視学	sigaku	school inspector
転学	tengaku	to another
本学	hongaku	this university
道学	doogaku	ethics
博学	hakugaku	erudition
官学	kangaku	government school
洋学	yoogaku	Western learning
林学	ringaku	forestry
経学	keigaku	Confucianism
軍学	gungaku	military science
浅学	sengaku	superficial knowledge
博学	hakugaku	erudition
易学	ekigaku	study of divination
兵学	heigaku	military science
禅学	zengaku	Zen studies
好学	koogaku	love of learning
先学	sengaku	academic predecessor
勧学	kangaku	encouragement of learning
晩学	bangaku	late education
後学	koogaku	younger scholar
俗学	zokugaku	popular learning
不学	hugaku	unlearned
古学	kogaku	classical studies
心学	singaku	Edo-period popularized blend of Buddhist, Shinto and Confucian ethical teachings 
衒学	gengaku	pedantry
勤学	kingaku	studying while working
家学	kagaku	hereditary learning
歌学	kagaku	poetry
篤学	tokugaku	love of learning
仏学	butugaku	Buddhist learning
兼学	kengaku	concurrently studying the teachings of two or more different schools or sects
斯学	sigaku	this academic subject
暦学	rekigaku	the study of the calendar
間接	kansetu	indirection
間際	magiwa	on the verge of
間近	mazika	proximity
間隔	kankaku	space
間伐	kanbatu	periodic thinning
間柄	aidagara	relation
間口	maguti	frontage
間髪	kanpatu	in no time
間食	kansyoku	eating between meals
間断	kandan	break in time
間隙	kangeki	gap
間奏	kansoo	interlude
間尺	masyaku	marked
間道	kandoo	side road
間欠	kanketu	intermittence
間諜	kantyoo	spy
間遠	madoo	at long distance
間作	kansaku	catch crop
間男	maotoko	married woman's secret lover
間然	kanzen	being liable to criticism
間柱	mabasira	stud
間者	kanzya	spy
間歇	kanketu	intermittence
間代	madai	room rent
間着	aigi	between-season wear
時間	zikan	time
年間	nenkan	year
人間	ningen	human being
民間	minkan	private
期間	kikan	period
年間	nenkan	year
週間	syuukan	week
中間	tyuukan	middle
仲間	nakama	company
瞬間	syunkan	moment
空間	kuukan	space
分間	hunkan	~ minutes interval
区間	kukan	section
世間	seken	world
夜間	yakan	at night
月間	gekkan	month-long period
手間	tema	time
週間	syuukan	week
昼間	hiruma	daytime
合間	aima	interval
山間	sankan	among the mountains
居間	ima	living room
区間	kukan	section
朝間	asama	during the morning
谷間	tanima	valley
行間	gyookan	line-spacing in text
狭間	hazama	interval
土間	doma	dirt floor
一間	ikken	one ken
眉間	miken	brow
林間	rinkan	in the forest
隙間	sukima	crevice
波間	namima	on the waves
広間	hiroma	hall
雲間	kumoma	rift between clouds
洋間	yooma	Western-style room
客間	kyakuma	parlor
股間	kokan	nether region
仏間	butuma	Buddhist family chapel
幇間	hookan	professional jester
幕間	makuai	intermission
巷間	kookan	on the street
離間	rikan	estrangement
欄間	ranma	transom
食間	syokkan	between meals
雪間	yukima	break in the snow
小間	koma	small room
肋間	rokkan	intercostal
京間	kyooma	standard measurement for the distance between pillars in the Kansai area
旬間	zyunkan	period of ten days
陰間	kagema	homosexual prostitute who sold favors at banquets, etc. 
深間	hukama	depths
貸間	kasima	room to let
雨間	amaai	break in the rain
軌間	kikan	gauge
近間	tikama	proximity
寝間	nema	bedroom
晴間	harema	break
潮間	sioma	ebb tide
半間	hanma	something unfinished
半間	hanma	something unfinished
借間	syakuma	rented room
俗間	zokkan	the world
別間	betuma	separate room
坊間	bookan	all over town
気分	kibun	feeling
気温	kion	atmospheric temperature
気候	kikoo	climate
気味	gimi	#NAME?
気象	kisyoo	weather
気配	kehai	indication
気合	kiai	scream
気圧	kiatu	atmospheric pressure
気軽	kigaru	carefree
気迫	kihaku	spirit
気力	kiryoku	willpower
気楽	kiraku	carefree
気概	kigai	strong spirit
気鋭	kiei	spirited
気質	kisitu	spirit
気流	kiryuu	atmospheric current
気性	kisyoo	disposition
気管	kikan	trachea
気勢	kisei	fervour
気球	kikyuu	balloon
気丈	kizyoo	stout-hearted
気品	kihin	elegance
気密	kimitu	airtight
気道	kidoo	respiratory tract
気味	kimi	sensation
気功	kikoo	breathing exercise
気風	kihuu	character
気化	kika	vaporization
気持	kimoti	feeling
